pc01_state_id,pc01_district_id,pc01_subdistrict_id,pc01_vd_area,pc01_vd_t_hh,pc01_vd_t_p,pc01_vd_t_m,pc01_vd_t_f,pc01_vd_sc_p,pc01_vd_sc_m,pc01_vd_sc_f,pc01_vd_st_p,pc01_vd_st_m,pc01_vd_st_f,pc01_vd_edu_fac,pc01_vd_p_sch,pc01_vd_m_sch,pc01_vd_s_sch,pc01_vd_s_s_sch,pc01_vd_college,pc01_vd_ind_sch,pc01_vd_tr_sch,pc01_vd_adlt_lt_ct,pc01_vd_oth_sch,pc01_vd_medi_fac,pc01_vd_hosp,pc01_vd_all_hosp,pc01_vd_ayu_hosp,pc01_vd_un_hosp,pc01_vd_hom_hosp,pc01_vd_disp_cntr,pc01_vd_all_disp,pc01_vd_ayu_disp,pc01_vd_un_disp,pc01_vd_hom_disp,pc01_vd_mcw_cntr,pc01_vd_m_home,pc01_vd_cwc,pc01_vd_h_cntr,pc01_vd_ph_cntr,pc01_vd_phs_cnt,pc01_vd_fwc_cntr,pc01_vd_tb_cln,pc01_vd_n_home,pc01_vd_rmp,pc01_vd_smp,pc01_vd_chw,pc01_vd_oth_cntr,pc01_vd_tap,pc01_vd_well,pc01_vd_tank,pc01_vd_tubewell,pc01_vd_handpump,pc01_vd_river,pc01_vd_canal,pc01_vd_lake,pc01_vd_spring,pc01_vd_other,pc01_vd_p_t_fac,pc01_vd_post_off,pc01_vd_tele_off,pc01_vd_post_tele,pc01_vd_phone,pc01_vd_comm_fac,pc01_vd_bs_fac,pc01_vd_rs_fac,pc01_vd_nw_fac,pc01_vd_bank_fac,pc01_vd_comm_bank,pc01_vd_coop_bank,pc01_vd_crsoc_fac,pc01_vd_ac_soc,pc01_vd_nac_soc,pc01_vd_other_soc,pc01_vd_rc_fac,pc01_vd_c_v_hall,pc01_vd_sp_cl_fac,pc01_vd_st_au_fac,pc01_vd_app_pr,pc01_vd_app_mr,pc01_vd_app_fp,pc01_vd_app_navriv,pc01_vd_app_navcan,pc01_vd_app_nw,pc01_vd_dist_town,pc01_vd_power_supl,pc01_vd_power_dom,pc01_vd_power_agr,pc01_vd_power_oth,pc01_vd_power_all,pc01_vd_pap_mag,pc01_vd_tot_inc,pc01_vd_tot_exp,pc01_vd_land_fores,pc01_vd_canal_govt,pc01_vd_canal_pvt,pc01_vd_well_wo_el,pc01_vd_tw_wo_el,pc01_vd_tw_w_el,pc01_vd_tank_irr,pc01_vd_river_irr,pc01_vd_lake_irr,pc01_vd_w_fall,pc01_vd_oth_irr,pc01_vd_tot_irr,pc01_vd_un_irr,pc01_vd_cult_waste,pc01_vd_area_na_cu
21,13,0006,18621.0,28307,136630,68153,68477,44039,22403,21636,415,198,217,1.0,109,63,34,4,3,0,2,0,0,1.0,0,0,0,0,0,201,0,2,0,1,0,0,2,1,6,13,2,0,0,1,0,0,4,0,87,72,0,96,30,29,0,0,0,1.0,29,0,4,37,1.0,1.0,,,1.0,3,1,1.0,8.0,0,0,0.0,0,,,1.0,1.0,1.0,,1.0,,10.0,1.0,1.0,1.0,,1.0,2,0.0,0.0,0.0,2172.76999283,0.0,0.0,0.0,40.19000053,0.0,167.47999954,0.0,0.0,43.0,2423.439991,11964.399984209,2179.2900011949,2055.840001941
21,13,0007,19291.0,33113,155265,76946,78319,49614,25215,24399,156,86,70,1.0,125,77,40,6,6,1,2,0,2,1.0,0,0,0,0,0,200,0,2,0,0,0,0,1,1,7,25,1,0,0,0,0,0,0,0,97,65,0,107,35,24,2,0,6,1.0,31,0,7,52,1.0,1.0,,1.0,1.0,6,1,1.0,9.0,0,0,0.0,0,,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,207.3799973,1386.679998747,0.0,330.319998756,228.33000076,274.5600023864,14.6199999597,220.72000026299997,0.0,0.0,314.9700012,2778.290018925,11966.95996118,1428.3900006183999,2723.2999927142
21,13,0008,17842.0,29984,140240,69457,70783,39840,20324,19516,511,277,234,1.0,91,64,44,6,6,0,0,0,0,1.0,0,0,0,0,0,201,0,2,0,1,0,0,1,0,4,21,1,0,0,2,0,0,0,0,96,56,0,96,45,0,0,0,1,1.0,27,0,5,46,1.0,1.0,,,1.0,4,1,1.0,11.0,1,0,1.0,1,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,20.639999885599998,0.0,0.0,0.0,0.0,246.95000267,1.629999995,228.49999857,0.0,0.0,18.070000171,495.1500028440001,13110.849970729,1222.6500003528001,2299.0999997442
21,13,0009,1203.0,2030,9086,4598,4488,1217,646,571,0,0,0,1.0,7,4,4,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,2,0,8,7,0,0,0,0,1.0,3,0,0,4,1.0,1.0,,,0.0,0,0,1.0,1.0,0,1,1.0,0,1.0,,1.0,1.0,1.0,,,,0.0,1.0,1.0,,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.90000623,89.5400016961,165.14999819300002
21,13,0010,12013.0,18720,89617,45220,44397,19428,9903,9525,1689,864,825,1.0,76,41,23,5,4,0,0,0,0,1.0,1,1,0,0,0,202,0,2,0,2,1,0,1,0,3,11,1,0,0,0,0,0,0,0,55,42,0,55,5,2,0,0,0,1.0,16,0,2,28,1.0,1.0,,1.0,1.0,3,1,1.0,13.0,1,2,1.0,1,,,1.0,1.0,1.0,1.0,,,15.0,1.0,1.0,1.0,,1.0,1,0.0,0.0,579.24999997,1532.52000617,0.0,0.0099999998,0.0099999998,0.0,39.029999731000004,11.0,0.0,0.0,9.0,1591.570006361,6038.389988838001,1410.0399941130001,2394.9300054104
21,14,0001,20399.0,14508,70217,35558,34659,15302,7729,7573,7368,3727,3641,1.0,64,39,24,2,2,0,0,0,0,1.0,0,0,0,0,0,202,0,2,0,2,0,0,0,0,4,11,0,0,0,0,0,0,0,0,77,39,0,78,16,9,0,0,0,1.0,17,0,2,44,1.0,1.0,,1.0,1.0,3,0,1.0,2.0,1,0,0.0,0,,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,903.2300128504,1701.9200001000002,0.0,103.200002665,27.930000903,0.0,243.24000263300002,68.220000866,0.0,0.0,0.0,2183.35999027,11973.509916153,851.0400039099999,2635.3099849127
21,14,0002,54882.0,27326,135443,69249,66194,21184,10699,10485,40389,20604,19785,1.0,136,75,32,4,3,0,0,0,0,1.0,1,1,0,0,0,301,0,3,0,1,1,0,4,2,2,21,4,1,0,0,0,0,0,0,179,82,0,165,13,13,0,0,0,1.0,32,0,3,47,1.0,1.0,,1.0,1.0,5,0,1.0,5.0,0,0,0.0,0,,,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,,1.0,2,0.0,0.0,8482.2700086772,964.51000336,0.1599999964,69.7200003092,5.6600000455999995,0.0,251.1900011491,108.00999999,0.0,0.0,79.24000168,1495.1900068437003,21742.529953099,6466.3600710641,15386.7300175115
21,14,0003,5630.0,2168,9997,5028,4969,1635,803,832,1381,714,667,1.0,10,5,4,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,1,0,10,0,0,0,0,0,1.0,3,0,0,6,1.0,1.0,,,1.0,1,0,0.0,0.0,0,0,0.0,0,,,1.0,1.0,1.0,,,,11.0,1.0,1.0,,1.0,,2,0.0,0.0,2183.8300267600002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,304.0,1300.129991982,871.9199957840001,969.75999266
21,14,0004,27486.0,7840,36596,18237,18359,5306,2659,2647,7391,3657,3734,1.0,40,22,11,2,2,0,0,0,0,1.0,1,1,0,0,0,101,0,1,0,1,1,0,1,0,1,5,1,0,0,0,0,0,0,0,42,20,0,40,0,0,0,1,0,1.0,10,0,0,11,1.0,1.0,,,1.0,2,0,0.0,0.0,0,0,0.0,0,,,1.0,1.0,1.0,,,,0.0,1.0,1.0,,,1.0,2,0.0,0.0,12222.550169950002,82.39999771000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.39999771000001,4757.780013056999,1369.640008301,8229.560010805
21,14,0005,37163.0,23249,110892,55647,55245,20894,10507,10387,7903,4023,3880,1.0,105,47,21,2,2,0,0,0,0,1.0,0,0,0,0,0,100,0,1,0,0,0,0,1,1,3,17,1,0,0,1,0,0,0,0,83,36,0,78,20,8,0,3,0,1.0,22,0,1,36,1.0,1.0,,1.0,1.0,4,1,1.0,2.0,1,0,1.0,0,,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,4567.0399951002,1357.160014775,2.99000001,30.130000170800002,2.4799999578,0.0,446.2999989819,302.749999033,0.0,0.0,76.0,2307.7500003828,17575.109961429996,7749.800007641999,4773.3500090719
